,Screening,Title,Abstract,Keywords
505,included,Effects of forest degradation on microbial communities and soil carbon cycling: A global meta-analysis,"Aim: The aim was to explore how conversions of primary or secondary forests to plantations or agricultural systems influence soil microbial communities and soil carbon (C) cycling. Location: Global. Time period: 1993-2017. Major taxa studied: Soil microbes. Methods: A meta-analysis was conducted to examine effects of forest degradation on soil properties and microbial attributes related to microbial biomass, activity, community composition and diversity based on 408 cases from 119 studies in the world. Results: Forest degradation decreased the ratios of K-strategists to r-strategists (i.e., ratios of fungi to bacteria, Acidobacteria to Proteobacteria, Actinobacteria to Bacteroidetes and Acidobacteria+Actinobacteria to Proteobacteria+Bacteroidetes). The response ratios (RRs) of the K-strategist to r-strategist ratios to forest degradation decreased and increased with increased RRs of soil pH and soil C to nitrogen ratio (C:N), respectively. Forest degradation increased the bacterial alpha-diversity indexes, of which the RRs increased and decreased as the RRs of soil pH and soil C: N increased, respectively. The overall RRs across all the forest degradation types ranked as microbial C (-40.4%)> soil C (-33.3%)> microbial respiration (-18.9%)> microbial C to soil C ratio (qMBC; -15.9%), leading to the RRs of microbial respiration rate per unit microbial C (qCO(2)) and soil C decomposition rate (respiration rate per unit soil C), on average, increasing by +43.2 and +25.0%, respectively. Variances of the RRs of qMBC and qCO(2) were significantly explained by the soil C, soil C: N and mean annual precipitation. Main conclusions: Forest degradation consistently shifted soil microbial community compositions from K-strategist dominated to r-strategist dominated, altered soil properties and stimulated microbial activity and soil C decomposition. These results are important for modelling the soil C cycling under projected global land-use changes and provide supportive evidence for applying the macroecology theory on ecosystem succession and disturbance in soil microbial ecology.",carbon decomposition; forest degradation; land use; microbial community; microbial diversity; microbial metabolic quotient; soil carbon
506,included,Altered ecosystem carbon and nitrogen cycles by plant invasion: a meta-analysis,"Plant invasion potentially alters ecosystem carbon (C) and nitrogen (N) cycles. However, the overall direction and magnitude of such alterations are poorly quantified. Here, 94 experimental studies were synthesized, using a meta-analysis approach, to quantify the changes of 20 variables associated with C and N cycles, including their pools, fluxes, and other related parameters in response to plant invasion. Pool variables showed significant changes in invaded ecosystems relative to native ecosystems, ranging from a 5% increase in root carbon stock to a 133% increase in shoot C stock. Flux variables, such as above-ground net primary production and litter decomposition, increased by 50-120% in invaded ecosystems, compared with native ones. Plant N concentration, soil NH4+ and NO3- concentrations were 40, 30 and 17% higher in invaded than in native ecosystems, respectively. Increases in plant production and soil N availability indicate that there was positive feedback between plant invasion and C and N cycles in invaded ecosystems. Invasions by woody and N-fixing plants tended to have greater impacts on C and N cycles than those by herbaceous and nonN-fixing plants, respectively. The responses to plant invasion are not different among forests, grasslands, and wetlands. All of these changes suggest that plant invasion profoundly influences ecosystem processes.",carbon and nitrogen pools and fluxes; litter quality; meta-analysis; plant invasion; soil nitrogen availability
507,excluded,Does organic farming reduce environmental impacts? - A meta-analysis of European research,"Organic farming practices have been promoted as, inter alia, reducing the environmental impacts of agriculture. This meta-analysis systematically analyses published studies that compare environmental impacts of organic and conventional farming in Europe. The results show that organic farming practices generally have positive impacts on the environment per unit of area, but not necessarily per product unit. Organic farms tend to have higher soil organic matter content and lower nutrient losses (nitrogen leaching, nitrous oxide emissions and ammonia emissions) per unit of field area. However, ammonia emissions, nitrogen leaching and nitrous oxide emissions per product unit were higher from organic systems. Organic systems had lower energy requirements, but higher land use, eutrophication potential and acidification potential per product unit. The variation within the results across different studies was wide due to differences in the systems compared and research methods used. The only impacts that were found to differ significantly between the systems were soil organic matter content, nitrogen leaching, nitrous oxide emissions per unit of field area, energy use and land use. Most of the studies that compared biodiversity in organic and conventional farming demonstrated lower environmental impacts from organic farming. The key challenges in conventional farming are to improve soil quality (by versatile crop rotations and additions of organic material), recycle nutrients and enhance and protect biodiversity. In organic farming, the main challenges are to improve the nutrient management and increase yields. In order to reduce the environmental impacts of farming in Europe, research efforts and policies should be targeted to developing farming systems that produce high yields with low negative environmental impacts drawing on techniques from both organic and conventional systems. (C) 2012 Elsevier Ltd. All rights reserved.",
508,excluded,Land-use contrasts reveal instability of subsoil organic carbon,"Combining nutrient dynamics (plant nutrient uptake and soil fertility) can help uncover mechanisms of shrub-grass interactions and assess the validity of the stress-gradient hypothesis, which predicts that facilitation between plants increases in stressful environments. However, how facilitation via shrub-mediated nutrient increases varies with precipitation is poorly resolved. We first synthesized a global dataset from 66 studies and evaluated how shrubs affected soil organic carbon (C) and nitrogen (N) in grasslands along a precipitation gradient. We then made new measurements in a single-grassland type encroached by leguminous shrubs from the same genus (Caragana) to constrain the variations caused by combining different grassland types and shrubs traits in the meta-analysis. Specifically, we investigated how shrubs mediated N dynamics and how shrub-grass interactions varied along a precipitation gradient (147-342mm) in a temperate steppe of China. At the global scale, leguminous shrub-mediated effects on soil nutrients increased with precipitation, while no relationship was found for non-leguminous shrub. For the field experiment, greater N and lower N-15 in Caragana compared to non-leguminous shrub (reference shrub, Salsola collina) suggested active N-fixation in Caragana. We found that Caragana enhanced N concentration and leaf quality (low C:N ratio) in neighbouring plants more on mesic sites than on xeric sites. Thus, facilitation increased via higher soil N and with decreasing environmental stress, at least along this relatively arid precipitation gradient. Our results highlight the importance of precipitation in determining the nutritional facilitation to neighbouring grasses from encroaching leguminous shrubs. Conceptual frameworks for plant facilitation may therefore need to include shrub characteristics (N-fixers vs. non-fixers) and positive effects of higher precipitation on this type of facilitation to characterize plant interactions along stress gradients. A is available for this article.",competition; dryland; facilitation; Inner Mongolia; nurse plant; nutrient dynamics; shrub encroachment; stress gradient hypothesis
509,excluded,Which agricultural management interventions are most influential on soil organic carbon (using time series data)?,"Background: Loss of soil organic carbon (SOC) from agricultural land is identified as one of the major threats to soils, as it influences both fertility and the production of ecosystem services from agriculture. Losses of SOC across regions are often determined by monitoring in different land use systems. Results from agricultural field experiments can reveal increasing SOC stocks after implementation of specific management practices compared to a control, though in time series experiments the relative rate of change is often negative and implying an overall loss. Longterm agricultural field experiments are indispensable for quantifying absolute changes in SOC stocks under different management regimes. Since SOC responses are seldom linear over time, time series data from these experiments are particularly valuable. Methods: This systematic review is based on studies reporting time series data collated in a recently completed systematic map on the topic restricted to the warm temperate climate zone and the snow climate zone. These 53 studies were identified and selected systematically according to CEE guidelines. An update of the original search for studies will be repeated using Web of Science and Google Scholar to include newly published academic and grey literature in the time since the original search was performed in September 2013. Studies will be subject to critical appraisal of the internal and external validity, followed by full data extraction (meta-data describing study settings and quantitative study results). Where possible, studies will be included in a quantitative synthesis using time series meta-analytical approaches. The implications of the meta-analytical findings will be discussed in terms of policy, practice and research along with a discussion of the nature of the evidence base.",Agriculture; Tillage; Fertilization; Crop rotation; Amendment; Farming; Conservation; Carbon sequestration; Long-term field experiments; Time series data
510,excluded,Predictions of soil surface and topsoil organic carbon content through the use of laboratory and field spectroscopy in the albany thicket biome of eastern cape province of south africa,"In recent years it has been shown that laboratory and field visible near infrared spectroscopy (VNIRS) allows for the accurate prediction of soil organic carbon (SOC) - more rapidly, less expensively, and at larger scales than conventional soil laboratory methods. VNIRS might find application in the restoration assessment of the degraded, semi-arid subtropical thickets of the Albany Thicket Biome (ATB) of the Eastern Cape Province of South Africa. During the twentieth century, the semi-arid forms of the ATB suffered heavy browsing by goats, transforming the dense closed-canopy shrubland into an open savannah-like system. This paper presents a study dealing with SOC estimation of soil surface (0-5 mm) and topsoil (0-200 mm) in the degraded ATB, through the combination of soil spectroscopy and partial least square regression (PLSR). Spectroscopic measurements and soil samples were collected along a transect in the ATB. The PLSR models developed with laboratory and field spectra gave good predictions of SOC, with root mean square error of validation (RMSEV) <5.0 and 5.5 g C kg(-1), respectively. The use of the full visible near-infrared spectral range gave better SOC predictions than using either visible or near-infrared separately. The resampling simulation of the field surface spectra to the 232 channels of the satellite-born EnMAP sensor gave good SOC predictions for laboratory conditions (RPD>2), but low accuracy (RMSE: 9.88 g C kg(-1)) for field model. The results of this research study indicated that, for the ATB, (i) combining soil spectroscopy and PLSR does favor accurate prediction of SOC. (ii) the predictions of surface SOC can be used as a proxy of topsoil SOC. and (iii) there is potential for future application of satellite-born hyperspectral data for SOC content predictions. (C) 2011 Elsevier BM. All rights reserved.",
511,excluded,Pastures to woodlands: changes in soil microbial communities and carbon following reforestation,"Reforestation of agricultural lands has the potential to sequester C, while providing other environmental benefits. It is well established that reforestation can have a profound impact on soil physicochemical properties but the associated changes to soil microbial communities are poorly understood. Therefore, the objective of this study was to quantify changes in soil physicochemical properties and microbial communities in soils collected from reforested pastures and compare then to remnant vegetation and un-reforested pastures. To address this aim, we collected soil from two locations (pasture and its adjacent reforested zone, or pasture and its adjacent remnant vegetation) on each of ten separate farms that covered the range of planting ages (0-30 years and remnant vegetation) in a temperate region of southeastern Australia. Soils were analysed for a range of physicochemical properties (including C and nutrients), and microbial biomass and community composition (PLFA profiles). Soil C:N ratios increased with age of tree planting, and soil C concentration was highest in the remnant woodlands. Reforestation had no clear impact on soil microbial biomass or fungal:bacterial ratios (based on PLFA's). Reforestation was associated with significant changes in the molecular composition of the soil microbial community at many farms but similar changes were found within a pasture. These results indicate that reforestation of pastures can result in changes in soil properties within a few decades, but that soil microbial community composition can vary as much spatially within pastures as it does after reforestation. (C) 2016 Elsevier B.V. All rights reserved.",Microbial community composition; Mixed-species plantings: phospholipid fatty; acids (PLFA); Reforestation; Soil carbon; Soil ecology
512,included,Fire frequency drives decadal changes in soil carbon and nitrogen and ecosystem productivity,"Fire frequency is changing globally and is projected to affect the global carbon cycle and climate(1-3). However, uncertainty about how ecosystems respond to decadal changes in fire frequency makes it difficult to predict the effects of altered fire regimes on the carbon cycle; for instance, we do not fully understand the long-term effects of fire on soil carbon and nutrient storage, or whether fire-driven nutrient losses limit plant productivity(4,5). Here we analyse data from 48 sites in savanna grasslands, broadleaf forests and needleleaf forests spanning up to 65 years, during which time the frequency of fires was altered at each site. We find that frequently burned plots experienced a decline in surface soil carbon and nitrogen that was non-saturating through time, having 36 per cent (+/- 13 per cent) less carbon and 38 per cent (+/- 16 per cent) less nitrogen after 64 years than plots that were protected from fire. Fire-driven carbon and nitrogen losses were substantial in savanna grasslands and broadleaf forests, but not in temperate and boreal needleleaf forests. We also observe comparable soil carbon and nitrogen losses in an independent field dataset and in dynamic model simulations of global vegetation. The model study predicts that the long-term losses of soil nitrogen that result from more frequent burning may in turn decrease the carbon that is sequestered by net primary productivity by about 20 per cent of the total carbon that is emitted from burning biomass over the same period. Furthermore, we estimate that the effects of changes in fire frequency on ecosystem carbon storage may be 30 per cent too low if they do not include multidecadal changes in soil carbon, especially in drier savanna grasslands. Future changes in fire frequency may shift ecosystem carbon storage by changing soil carbon pools and nitrogen limitations on plant growth, altering the carbon sink capacity of frequently burning savanna grasslands and broadleaf forests.",Calcium/analysis/metabolism; Carbon/*analysis/deficiency/*metabolism; Carbon Sequestration; *Ecosystem; Geographic Mapping; Grassland; Nitrogen/*analysis/deficiency/*metabolism; Phosphorus/analysis/metabolism; Potassium/analysis/metabolism; Soil/*chemistry; Spatio-Temporal Analysis; Time Factors; Wildfires/*statistics & numerical data
513,excluded,Improving China's food and environmental security with conservation agriculture,"China has achieved impressive increases in agricultural output in recent decades. Yet, past approaches centred on a growing use of fertilizers, pesticides, fuel and water are not likely to achieve the required 30-50% additional increases in food production by mid-century. We show that efficiencies of production are falling and the costs of environmental harm are increasing. Agricultural innovations that improve natural capital are urgently needed. Conservation agriculture (CA) is now practised on >8Mha in China and is offering promising prospects of both enhanced yields and environmental services. Our meta-analysis of 60 papers with 395 observations in China shows notable benefits from CA. Mean yield increase was 4.5% or 263kgha(-1) for wheat, 8.3% or 424kgha(-1) for maize, and 1.65% or 250kgha(-1) for rice. In 34 datasets from 22 published papers (experimental duration: 2-17 years), 26 datasets (76.5%) show that CA increased yield and soil organic carbon (mean SOC increase of >3g.kg(-1) in 0-10cm soil depth) when compared with traditional tillage. Key priorities for the spread of more sustainable forms of agriculture in China are national policy and financial support, better coordination across agencies, and better extension for farmers.",agricultural sustainability; China; conservation agriculture; sustainable intensification
514,excluded,How does tillage intensity affect soil organic carbon? A systematic review protocol,"Background: Soils contain the greatest terrestrial carbon (C) pool on the planet. Since approximately 12 % of soil C is held in cultivated soils, management of these agricultural areas has a huge potential to affect global carbon cycling; acting sometimes as a sink but also as a source. Tillage is one of the most important agricultural practices for soil management and has been traditionally undertaken to mechanically prepare soils for seeding and minimize effects of weeds. It has been associated with many negative impacts on soil quality, most notably a reduction in soil organic carbon (SOC), although still a matter of considerable debate, depending on factors such as depth of measurement, soil type, and tillage method. No tillage or reduced intensity tillage are frequently proposed mitigation measures for preservation of SOC and improvement of soil quality, for example for reducing erosion. Whilst several reviews have demonstrated benefits to C conservation of no till agriculture over intensive tillage, the general picture for reduced tillage intensity is unclear. This systematic review proposes to synthesise an extensive body of evidence, previously identified through a systematic map. Methods: This systematic review is based on studies concerning tillage collated in a recently completed systematic map on the impact of agricultural management on SOC restricted to the warm temperate climate zone (i.e. boreo-temperate). These 311 studies were identified and selected systematically according to CEE guidelines. An update of the original search will be undertaken to identify newly published academic and grey literature in the time since the original search was performed in September 2013. Studies will be critically appraised for their internal and external validity, followed by full data extraction (meta-data describing study settings and quantitative study results). Where possible, studies will be included in meta-analyses examining the effect of tillage reduction ('moderate' (i.e. shallow) and no tillage relative to 'intensive' tillage methods such as mouldboard ploughing, where soil is turned over throughout the soil profile). The implications of the findings will be discussed in terms of policy, practice and research along with a discussion of the nature of the evidence base.",Agriculture; Conservation; Till; Plough; Farming; Land management; Climate change; Land use change; Carbon sequestration
515,excluded,Phase iii pilot study of dose escalation using conformal radiotherapy in prostate cancer: psa control and side effects,"Radical radiotherapy is a standard form of management of localised prostate cancer. Conformal treatment planning spares adjacent normal tissues reducing treatment-related side effects and may permit safe dose escalation. We have tested the effects on tumour control and side effects of escalating radiotherapy dose and investigated the appropriate target volume margin. After an initial 3 - 6 month period of androgen suppression, 126 men were randomised and treated with radiotherapy using a 2 by 2 factorial trial design. The initial radiotherapy tumour target volume included the prostate and base of seminal vesicles (SV) or complete SV depending on SV involvement risk. Treatments were randomised to deliver a dose of 64 Gy with either a 1.0 or 1.5 cm margin around the tumour volume (1.0 and 1.5 cm margin groups) and also to treat either with or without a 10 Gy boost to the prostate alone with no additional margin (64 and 74 Gy groups). Tumour control was monitored by prostate-specific antigen (PSA) testing and clinical examination with additional tests as appropriate. Acute and late side effects of treatment were measured using the Radiation Treatment and Oncology Groups (RTOG) and LENT SOM systems. The results showed that freedom from PSA failure was higher in the 74 Gy group compared to the 64 Gy group, but this did not reach conventional levels of statistical significance with 5-year actuarial control rates of 71% (95% CI 58 - 81%) in the 74 Gy group vs 59% (95% CI 45 - 70%) in the 64 Gy group. There were 23 failures in the 74 Gy group and 33 in the 64 Gy group (Hazard ratio 0.64, 95% CI 0.38 - 1.10, P = 0.10). No difference in disease control was seen between the 1.0 and 1.5 cm margin groups (5-year actuarial control rates 67%, 95% CI 53 - 77% vs 63%, 95% CI 50 - 74%) with 28 events in each group (Hazard ratio 0.97, 95% CI 0.50 - 1.86, P = 0.94). Acute side effects were generally mild and 18 weeks after treatment, only four and five of the 126 men had persistent greater than or equal to Grade 1 bowel or bladder side effects, respectively. Statistically significant increases in acute bladder side effects were seen after treatment in the men receiving 74 Gy (P = 0.006), and increases in both acute bowel side effects during treatment (P = 0.05) and acute bladder sequelae (P = 0.002) were recorded for men in the 1.5 cm margin group. While statistically significant, these differences were of short duration and of doubtful clinical importance. Late bowel side effects (RTOG greater than or equal to 2) were seen more commonly in the 74 Gy and 1.5 cm margin groups (P = 0.02 and P = 0.05, respectively) in the first 2 years after randomisation. Similar results were found using the LENT SOM assessments. No significant differences in late bladder side effects were seen between the randomised groups using the RTOG scoring system. Using the LENT SOM instrument, a higher proportion of men treated in the 74 Gy group had Grade greater than or equal to3 urinary frequency at 6 and 12 months. Compared to baseline scores, bladder symptoms improved after 6 months or more follow-up in all groups. Sexual function deteriorated after treatment with the number of men reporting some sexual dysfunction (Grade greater than or equal to1) increasing from 38% at baseline to 66% at 6 months and 1 year and 81% by year 5. However, no consistent differences were seen between the randomised groups. In conclusion, dose escalation from 64 to 74 Gy using conformal radiotherapy may improve long-term PSA control, but a treatment margin of 1.5 cm is unnecessary and is associated with increased acute bowel and bladder reactions and more late rectal side effects. Data from this randomised pilot study informed the Data Monitoring Committee of the Medical Research Council RT 01 Trial and the two studies will be combined in subsequent meta-analysis.",
516,excluded,Data-driven enzyme (denzy) model represents soil organic carbon dynamics in forests impacted by nitrogen deposition,"Soil microorganisms participate in almost all soil organic carbon (SOC) transformations, but they are not represented explicitly in the current generation of earth system models. This study used a data-driven approach to incorporate extracellular enzyme activity into the Terrestrial ECOsystem (TECO) model, and the updated version was named the Data-driven ENZYme (DENZY) model. DENZY is based on results from an extensive data synthesis, which show that the CN ratio is positively correlated with ligninase activity (R-2 = 0.50). The latter is inversely correlated to soil organic carbon storage. The DENZY model was parameterized using the revise database to information from a recent meta-analysis and tested for its ability to simulate SOC dynamics at Duke Forest (North Carolina, USA) from 1996 to 2007. DENZY can well simulate the observed negative relationship between ligninase activity and SOC under N deposition conditions (R-2 ranges from 0.61 to 0.89). Moreover, outputs from DENZY better matched the observed SOC than its prototype model with the same parameterization. This study provides a simple and straightforward approach to effectively use real-world observations to improve SOC projections in terrestrial biogeochemical models.",Soil organic carbon modelling; Meta-analysis; TECO; Ligninase activity; N deposition; Data driven modelling
517,excluded,The impact of conservation agriculture on smallholder agricultural yields: a scoping review of the evidence,"Widespread implementation of conservation agriculture (CA) in North and South America and Australia suggests significant farmer profitability achieved through some combination of sustained or increased agronomic productivity and reduced input costs. Many believe similar agronomic benefits can accrue to smallholder farmers in sub-Saharan Africa (SSA) and South Asia (SA) for a broad array of crops and farming systems despite marked differences in biophysical and socio-economic environments across these regions. Our objectives were to characterize (1) the quality of existing research including an assessment of the relevance of previously published reviews and surveys to SSA and SA, and (2) the empirical evidence from SSA and SA for agronomic benefits derived from implementing zero tillage (ZT) including the identification of knowledge gaps. Mulching and rotation were considered as associated practices within systems. Among surveys and reviews, most syntheses of multiple, independent studies were either entirely qualitative or used overly simplistic approaches to data aggregation. Few reviews used meta-analysis or other rigorous statistics that permit assessment of outcome sensitivity to influential observations; in general, review protocol descriptions were not sufficient to ensure transparency and appropriate handling of common biases. A search and screening of peer-reviewed literature identified empirical studies on conservation tillage in SSA and SA for maize (22), rice (16), cowpea (10) and sorghum (8). In attempting to extract data for an unbiased, systematic review of CA and maize, we found few studies fully reported critical data or meta-data; most common omissions were the univariate statistics required for study use in meta-analyses and critical supporting or explanatory data on soil type, prevailing weather, and management practices including handling of crop residues. In the short-term, ZT generally resulted in lower yields than with conventional tillage (CT). Occasionally these reductions could be linked to direct effects (e.g. increased soil compaction in rice), but failure to adapt other managements (e.g. weed control) to the CA system was a common and confounding indirect effect. Sufficient maize data existed to demonstrate that negative impacts on yield ameliorated with time in some cases accompanied by higher soil water infiltration and soil organic matter, particularly when mulch was added. However, the low number of studies, the missing supporting data and the large variation in treatments made it difficult to infer general direct effects due to mulching or rotation. Well-designed long-term experiments on CA featuring sound agronomic practice and comprehensive documentation are largely missing from the literature. Future systematic reviews addressing agronomic impacts of CA interventions will require appropriate handling of within and between study variance as well as sensitivity analyses and quantitative assessments of publication bias; on-going and future empirical studies must report a minimum dataset encompassing valid statistical measures and comprehensive intervention descriptions that enable standardization and systematic approaches in syntheses. We propose a minimum dataset that is generic to competent agronomy with measurements that are increasingly low-cost and easy to achieve and should therefore be routine in field experiments quantifying and explaining crop and cropping system performance. Until a larger number of field studies provide such quantifying and explanatory data from key crops and representative cropping systems, it is not possible to make strong general conclusions about benefits of CA and ZT on yields and resource use efficiency of smallholder farmers. (C) 2013 Elsevier B.V. All rights reserved.",
518,included,Does agricultural crop diversity enhance soil microbial biomass and organic matter dynamics? A meta-analysis,"Our increasing dependence on a small number of agricultural crops, such as corn, is leading to reductions in agricultural biodiversity. Reductions in the number of crops in rotation or the replacement of rotations by monocultures are responsible for this loss of biodiversity. The belowground implications of simplifying agricultural plant communities remain unresolved; however, agroecosystem sustainability will be severely compromised if reductions in biodiversity reduce soil C and N concentrations, alter microbial communities, and degrade soil ecosystem functions as reported in natural communities. We conducted a meta-analysis of 122 studies to examine crop rotation effects on total soil C and N concentrations, and the faster cycling microbial biomass C and N pools that play key roles in soil nutrient cycling and physical processes such as aggregate formation. We specifically examined how rotation crop type and management practices influence C and N dynamics in different climates and soil types. We found that adding one or more crops in rotation to a monoculture increased total soil C by 3.6% and total N by 5.3%, but when rotations included a cover crop (i.e., crops that are not harvested but produced to enrich the soil and capture inorganic N), total C increased by 8.5% and total N 12.8%. Rotations substantially increased the soil microbial biomass C (20.7%) and N (26.1%) pools, and these overwhelming effects on microbial biomass were not moderated by crop type or management practices. Crop rotations, especially those that include cover crops, sustain soil quality and productivity by enhancing soil C, N, and microbial biomass, making them a cornerstone for sustainable agroecosystems.",meta-analysis
519,excluded,"Commentary on ""current economic obstacles to biochar use in agriculture and climate change mitigation' regarding uncertainty, context-specificity and alternative value sources","A recent study in Carbon Management, by Bach etal., argues that biochar amendments' positive impacts on crop yields and soil carbon sequestration have been overestimated, and biochar amendment to soil is hence unlikely to be an economically viable technique for cropping system management or C abatement. We question the data selection and analysis techniques that the authors used to assess the effect of biochar on crop yield, biochar stability in soil, and biochar production cost. Although the research article was not intended as a meta-analysis - and hence the data reported need not be analyzed with the full rigor of a systematic review - we assert that the employed data set, while containing a sufficient quantity of data, requires closer inspection and a more careful interpretation to avoid significant bias in the conclusions. Furthermore, we assert that proper implementation of biochar and inclusion of non-yield benefits in the analysis would render it more economically viable for both cropping system enhancement and C sequestration than portrayed by Bach etal.",Biochar; agriculture; uncertainty; economics; carbon sequestration
520,excluded,Tools to detect delirium superimposed on dementia: a systematic review,"Objectives To identify valid tools to diagnose delirium superimposed on dementia. Design Systematic review of studies of delirium tools that explicitly included individuals with dementia. Setting Hospital. Participants Studies were included if delirium assessment tools were validated against standard criteria, and the presence of dementia was assessed according to standard criteria that used validated instruments. Measurements PubMed, Embase, and Web of Science databases were searched for articles in English published between January 1960 and January 2012. Results Nine studies fulfilled the selection criteria. Of 1,569 participants, 401 had dementia, and 50 had delirium superimposed on dementia. Six delirium tools were evaluated. One study using the Confusion Assessment Method (CAM) with 85% of participants with dementia had high specificity (96100%) and moderate sensitivity (77%). Two intensive care unit studies that used the CAM for the Intensive Care Unit (CAM-ICU) reported 100% sensitivity and specificity for delirium in 23 individuals with dementia. One study using electroencephalography reported sensitivity of 67% and specificity of 91% in a population with a 100% prevalence of dementia. No studies examined potential effects of dementia severity or subtype on diagnostic accuracy. Conclusions The evidence base on tools for detection of delirium superimposed on dementia is limited, although some existing tools show promise. Further studies of existing or refined tools with larger samples and more-detailed characterization of dementia are required to address the identification of delirium superimposed on dementia. J Am Geriatr Soc 60: 2005-2013, 2012.",
521,excluded,Warming induced changes in soil carbon and nitrogen influence priming responses in four ecosystems,"Soil contains the largest terrestrial pool of carbon (C), but how this pool will be affected by global change remains unknown. Warmer temperatures generally increase soil respiration, while additional C inputs from plants to soil can increase or decrease soil C decomposition rates through a phenomenon known as priming. Priming occurs when soil organic matter (SOM) decomposition rates change in response to a fresh substrate, though the mechanisms underlying priming are poorly understood. Here, we measured priming in four ecosystems during a seven-week incubation with weekly glucose additions. Soil was collected from field warming experiments in the four ecosystems, so our experiment assessed the influence of long-term warming on priming. All treatments exhibited negative priming (reduced SOM decomposition) after the first substrate pulse. Subsequent substrate pulses elicited variable responses, and the effect of long-term warming on priming was ecosystem-dependent. Priming was correlated with changes in soil C and N in response to warming: ecosystems that lost soil C and N over nine years of experimental warming exhibited low rates of priming (decreased SOM decomposition), while ecosystems that gained soil C and N in response to warming had high priming. Consequently, priming may accelerate C losses in ecosystems that exhibit warming-induced C increases, and vice versa, thus partially buffering soil C content against change.",SOM decomposition; Priming; Climate change; Warming
522,excluded,"Successful models of comprehensive care for older adults with chronic conditions: evidence for the institute of medicine's ""retooling for an aging america"" report","The quality of chronic care in America is low, and the cost is high. To help inform efforts to overhaul the ailing U.S. healthcare system, including those related to the ""medical home,"" models of comprehensive health care that have shown the potential to improve the quality, efficiency, or health-related outcomes of care for chronically ill older persons were identified. Using multiple indexing terms, the MEDLINE database was searched for articles published in English between January 1, 1987, and May 30, 2008, that reported statistically significant positive outcomes from high-quality research on models of comprehensive health care for older persons with chronic conditions. Each selected study addressed a model of comprehensive health care; was a meta-analysis, systematic review, or trial with an equivalent concurrent control group; included an adequate number of representative, chronically ill participants aged 65 and older; used valid measures; used reliable methods of data collection; analyzed data rigorously; and reported significantly positive effects on the quality, efficiency, or health-related outcomes of care. Of 2,714 identified articles, 123 (4.5%) met these criteria. Fifteen models have improved at least one outcome: interdisciplinary primary care (1), models that supplement primary care (8), transitional care (1), models of acute care in patients' homes (2), nurse-physician teams for residents of nursing homes (1), and models of comprehensive care in hospitals (2). Policy makers and healthcare leaders should consider including these 15 models of health care in plans to reform the U.S. healthcare system. The Centers for Medicare and Medicaid Services would need new statutory flexibility to pay for care by the nurses, social workers, pharmacists, and physicians who staff these promising models. J Am Geriatr Soc 57:2328-2337, 2009.",
523,excluded,Composition of heterogeneous web services: a systematic review,"Initial developments in Service-Oriented Computing (SOC) led to the development of Web Services using the SOAP protocol and an extensive set of tools and methods for composing new services from those existing. Subsequently, other types of services also emerged, such as event-oriented services and RESTful services. Nevertheless, all mentioned service types expose data and functionality, and users can benefit from their composition, regardless of the service type chosen for their implementation. In the Internet of Things, it is relevant to employ event-oriented services for sensing and SOAP, RESTful or lightweight web APIs for control. In the emerging field of microservices, heterogeneity is embraced as a design principle and services that are part of a single system may be implemented using heterogeneous technologies and paradigms. The research question of this review is: How heterogeneous services can be composed? There are several surveys that cover service composition with each of the existing service types, but the composition of heterogeneous services is only marginally addressed. This systematic literature review focuses explicitly on the heterogeneity of the aforementioned service types. A total of 66 documents, published from 2005 to 2018, have been surveyed, targeting all possible combinations of the three service types. In addition to summarizing existing works, the specific methods employed for supporting service type heterogeneity are grouped into archetypes and have their limitations and capabilities analyzed. Despite the large number of documents found, there are several open issues on heterogeneous service composition. The results of this review are confronted with emerging fields in service computing, namely microservices, serverless and IoT, yielding additional research directions.",Web service composition; Heterogeneous services; RESTful services; SOAP services; Event-oriented services; Microservices
